01:20:25.18459 2022-05-05	START GAME
01:20:36.10155 2022-05-05	started CreatePlace(MainCity, City)
01:20:42.85154 2022-05-05	succeeded CreatePlace(MainCity, City)
01:20:42.85795 2022-05-05	started EnableIcon("Open_Green_House_City_Door", Open, MainCity.GreenHouseDoor, "Green House Door", true)
01:20:42.86352 2022-05-05	succeeded EnableIcon("Open_Green_House_City_Door", Open, MainCity.GreenHouseDoor, "Green House Door", true)
01:20:42.86860 2022-05-05	started EnableIcon("Open_Brown_House_City_Door", Open, MainCity.BrownHouseDoor, "Brown House Door", true)
01:20:42.87054 2022-05-05	succeeded EnableIcon("Open_Brown_House_City_Door", Open, MainCity.BrownHouseDoor, "Brown House Door", true)
01:20:42.88435 2022-05-05	started EnableIcon("Open_Red_House_City_Door", Open, MainCity.RedHouseDoor, "Red House Door", true)
01:20:42.89975 2022-05-05	succeeded EnableIcon("Open_Red_House_City_Door", Open, MainCity.RedHouseDoor, "Red House Door", true)
01:20:42.91834 2022-05-05	started EnableIcon("Open_Blue_House_City_Door", Open, MainCity.BlueHouseDoor, "Blue House Door", true)
01:20:42.93323 2022-05-05	succeeded EnableIcon("Open_Blue_House_City_Door", Open, MainCity.BlueHouseDoor, "Blue House Door", true)
01:20:42.95017 2022-05-05	started CreatePlace(GreenCottage, Cottage)
01:20:43.56374 2022-05-05	succeeded CreatePlace(GreenCottage, Cottage)
01:20:43.56606 2022-05-05	started EnableIcon("Open_Green_House_Door", Open, GreenCottage.Door, "Green House Door", true)
01:20:43.56903 2022-05-05	succeeded EnableIcon("Open_Green_House_Door", Open, GreenCottage.Door, "Green House Door", true)
01:20:43.57158 2022-05-05	started CreatePlace(BrownCottage, Cottage)
01:20:44.19769 2022-05-05	succeeded CreatePlace(BrownCottage, Cottage)
01:20:44.20014 2022-05-05	started EnableIcon("Open_Brown_House_Door", Open, BrownCottage.Door, "Brown House Door", true)
01:20:44.20317 2022-05-05	succeeded EnableIcon("Open_Brown_House_Door", Open, BrownCottage.Door, "Brown House Door", true)
01:20:44.20568 2022-05-05	started CreatePlace(RedCottage, Cottage)
01:20:44.83331 2022-05-05	succeeded CreatePlace(RedCottage, Cottage)
01:20:44.83703 2022-05-05	started EnableIcon("Open_Red_House_Door", Open, RedCottage.Door, "Red House Door", true)
01:20:44.83934 2022-05-05	succeeded EnableIcon("Open_Red_House_Door", Open, RedCottage.Door, "Red House Door", true)
01:20:44.84166 2022-05-05	started CreatePlace(BlueCottage, Cottage)
01:20:45.47592 2022-05-05	succeeded CreatePlace(BlueCottage, Cottage)
01:20:45.47899 2022-05-05	started EnableIcon("Open_Blue_House_Door", Open, BlueCottage.Door, "Blue House Door", true)
01:20:45.48101 2022-05-05	succeeded EnableIcon("Open_Blue_House_Door", Open, BlueCottage.Door, "Blue House Door", true)
01:20:45.48630 2022-05-05	started CreateCharacter(Kate,C)
01:20:45.50190 2022-05-05	succeeded CreateCharacter(Kate,C)
01:20:45.50851 2022-05-05	started SetHairStyle(Kate,Long)
01:20:45.51871 2022-05-05	succeeded SetHairStyle(Kate,Long)
01:20:45.52421 2022-05-05	started SetClothing(Kate,Queen)
01:20:45.54833 2022-05-05	succeeded SetClothing(Kate,Queen)
01:20:45.55719 2022-05-05	started CreateCharacter(Bob,F)
01:20:45.57767 2022-05-05	succeeded CreateCharacter(Bob,F)
01:20:45.59128 2022-05-05	started SetHairStyle(Bob,Mage_Full)
01:20:45.60738 2022-05-05	succeeded SetHairStyle(Bob,Mage_Full)
01:20:45.62422 2022-05-05	started SetClothing(Bob,HeavyArmour)
01:20:45.64071 2022-05-05	succeeded SetClothing(Bob,HeavyArmour)
01:20:45.65685 2022-05-05	started SetPosition(Kate,MainCity.Fountain)
01:20:45.95734 2022-05-05	succeeded SetPosition(Kate,MainCity.Fountain)
01:20:45.97346 2022-05-05	started SetPosition(Bob,MainCity.NorthEnd)
01:20:46.27300 2022-05-05	succeeded SetPosition(Bob,MainCity.NorthEnd)
01:20:46.29060 2022-05-05	started CreateCharacter(Tom,D)
01:20:46.30797 2022-05-05	succeeded CreateCharacter(Tom,D)
01:20:46.32329 2022-05-05	started SetHairStyle(Tom,Short, Short_Beard, Short_Full)
01:20:46.34030 2022-05-05	succeeded SetHairStyle(Tom,Short, Short_Beard, Short_Full)
01:20:46.35692 2022-05-05	started SetClothing(Tom,Merchant)
01:20:46.37300 2022-05-05	succeeded SetClothing(Tom,Merchant)
01:20:46.39083 2022-05-05	started CreateCharacter(Emma,A)
01:20:46.40666 2022-05-05	succeeded CreateCharacter(Emma,A)
01:20:46.42425 2022-05-05	started SetHairStyle(Emma,Ponytail)
01:20:46.44038 2022-05-05	succeeded SetHairStyle(Emma,Ponytail)
01:20:46.45757 2022-05-05	started SetClothing(Emma,Merchant)
01:20:46.47326 2022-05-05	succeeded SetClothing(Emma,Merchant)
01:20:46.49026 2022-05-05	started CreateCharacter(Isabella,E)
01:20:46.50678 2022-05-05	succeeded CreateCharacter(Isabella,E)
01:20:46.52347 2022-05-05	started SetHairStyle(Isabella,Straight)
01:20:46.54030 2022-05-05	succeeded SetHairStyle(Isabella,Straight)
01:20:46.55730 2022-05-05	started SetClothing(Isabella,Bandit)
01:20:46.57405 2022-05-05	succeeded SetClothing(Isabella,Bandit)
01:20:46.59008 2022-05-05	started SetPosition(Tom,MainCity.EastEnd)
01:20:46.89084 2022-05-05	succeeded SetPosition(Tom,MainCity.EastEnd)
01:20:46.90764 2022-05-05	started SetPosition(Emma,MainCity.Bench.Right)
01:20:47.20747 2022-05-05	succeeded SetPosition(Emma,MainCity.Bench.Right)
01:20:47.22396 2022-05-05	started SetPosition(Isabella,MainCity.Plant)
01:20:47.52336 2022-05-05	succeeded SetPosition(Isabella,MainCity.Plant)
01:20:47.54102 2022-05-05	started CreateItem(poison_apple,Apple)
01:20:47.55747 2022-05-05	succeeded CreateItem(poison_apple,Apple)
01:20:47.57356 2022-05-05	started SetPosition(poison_apple,GreenCottage.Shelf.Left)
01:20:47.87313 2022-05-05	succeeded SetPosition(poison_apple,GreenCottage.Shelf.Left)
01:20:47.89193 2022-05-05	started EnableEffect(poison_apple,Poison)
01:20:47.90717 2022-05-05	succeeded EnableEffect(poison_apple,Poison)
01:20:47.92318 2022-05-05	started CreateItem(small_medicine,Bottle)
01:20:47.94012 2022-05-05	succeeded CreateItem(small_medicine,Bottle)
01:20:47.95770 2022-05-05	started SetPosition(small_medicine,BrownCottage.Shelf.Right)
01:20:48.25670 2022-05-05	succeeded SetPosition(small_medicine,BrownCottage.Shelf.Right)
01:20:48.27377 2022-05-05	started EnableEffect(small_medicine,Magic)
01:20:48.29013 2022-05-05	succeeded EnableEffect(small_medicine,Magic)
01:20:48.30794 2022-05-05	started CreateItem(expensive_medicine,GoldCup)
01:20:48.32374 2022-05-05	succeeded CreateItem(expensive_medicine,GoldCup)
01:20:48.34012 2022-05-05	started SetPosition(expensive_medicine,RedCottage.Shelf.Left)
01:20:48.64088 2022-05-05	succeeded SetPosition(expensive_medicine,RedCottage.Shelf.Left)
01:20:48.65871 2022-05-05	started EnableEffect(expensive_medicine,Force)
01:20:48.67367 2022-05-05	succeeded EnableEffect(expensive_medicine,Force)
01:20:48.69129 2022-05-05	started CreateItem(heart_apple,Apple)
01:20:48.70755 2022-05-05	succeeded CreateItem(heart_apple,Apple)
01:20:48.72296 2022-05-05	started SetPosition(heart_apple,BlueCottage.Shelf.Right)
01:20:49.02363 2022-05-05	succeeded SetPosition(heart_apple,BlueCottage.Shelf.Right)
01:20:49.04132 2022-05-05	started EnableEffect(heart_apple,Heart)
01:20:49.05761 2022-05-05	succeeded EnableEffect(heart_apple,Heart)
01:20:49.07485 2022-05-05	started SetCameraFocus(Kate)
01:20:49.16672 2022-05-05	succeeded SetCameraFocus(Kate)
01:20:49.17686 2022-05-05	started ShowMenu()
01:20:49.22456 2022-05-05	succeeded ShowMenu()
01:20:49.24011 2022-05-05	started HideMenu()
01:20:49.25998 2022-05-05	succeeded HideMenu()
01:20:49.27219 2022-05-05	started EnableInput()
01:20:49.29069 2022-05-05	succeeded EnableInput()
01:20:49.29614 2022-05-05	input arrived Kate at (317.4, 0.4, 9.4)
01:20:49.30644 2022-05-05	started SetPosition(Kate, BrownCottage.Shelf.Left)
01:20:49.40791 2022-05-05	input exited Kate position MainCity.Fountain
01:20:49.40850 2022-05-05	input arrived Kate position BrownCottage.Shelf
01:20:49.40890 2022-05-05	input arrived Kate position BrownCottage.Shelf.Left
01:20:49.40926 2022-05-05	input arrived Kate position BrownCottage.Shelf.Right
01:20:49.58429 2022-05-05	succeeded SetPosition(Kate, BrownCottage.Shelf.Left)
01:20:51.26831 2022-05-05	input arrived Kate at (897.2, 0.1, 3.0)
01:20:52.72619 2022-05-05	input started walking Kate at (897.2, 0.1, 3.0)
01:20:52.73442 2022-05-05	input started walking Kate at (896.8, 0.1, 2.9)
01:20:52.76898 2022-05-05	input arrived Kate position BrownCottage.Bookshelf
01:20:53.06825 2022-05-05	input exited Kate position BrownCottage.Shelf.Right
01:20:53.26758 2022-05-05	input arrived Kate at (896.4, 0.1, 1.9)
01:20:53.31811 2022-05-05	input stopped walking Kate at (896.4, 0.1, 1.9)
01:20:54.75166 2022-05-05	input started walking Kate at (896.4, 0.1, 1.9)
01:20:54.76921 2022-05-05	input started walking Kate at (896.4, 0.1, 1.9)
01:20:55.26856 2022-05-05	input arrived Kate at (897.4, 0.1, 1.7)
01:20:55.28513 2022-05-05	input exited Kate position BrownCottage.Bookshelf
01:20:55.30148 2022-05-05	input exited Kate position BrownCottage.Shelf
01:20:55.30201 2022-05-05	input exited Kate position BrownCottage.Shelf.Left
01:20:55.61763 2022-05-05	input arrived Kate position BrownCottage.Shelf.Right
01:20:55.61821 2022-05-05	input arrived Kate position BrownCottage.Shelf
01:20:55.61858 2022-05-05	input arrived Kate position BrownCottage.Shelf.Left
01:20:55.71856 2022-05-05	input arrived Kate position BrownCottage.Bookshelf
01:20:55.90112 2022-05-05	input exited Kate position BrownCottage.Shelf.Right
01:20:55.96820 2022-05-05	input stopped walking Kate at (896.7, 0.1, 2.1)
01:20:57.26791 2022-05-05	input arrived Kate at (896.7, 0.1, 2.1)
01:20:59.76819 2022-05-05	input Key Pause
01:21:18.76883 2022-05-05	input Quit
01:21:18.76943 2022-05-05	END GAME
