10:39:28.74680 2022-04-11	START GAME
10:39:32.95162 2022-04-11	started CreatePlace(MainCity, City)
10:39:36.37472 2022-04-11	succeeded CreatePlace(MainCity, City)
10:39:36.37765 2022-04-11	started CreateCharacter(Kate,C)
10:39:36.38780 2022-04-11	succeeded CreateCharacter(Kate,C)
10:39:36.39270 2022-04-11	started SetHairStyle(Kate,Long)
10:39:36.39905 2022-04-11	succeeded SetHairStyle(Kate,Long)
10:39:36.40149 2022-04-11	started SetClothing(Kate,Queen)
10:39:36.42225 2022-04-11	succeeded SetClothing(Kate,Queen)
10:39:36.43557 2022-04-11	started SetPosition(Kate,MainCity.NorthEnd)
10:39:36.73524 2022-04-11	succeeded SetPosition(Kate,MainCity.NorthEnd)
10:39:36.75291 2022-04-11	started EnableIcon("Open_Green_House_City_Door", Open, MainCity.GreenHouseDoor, "Green House Door", true)
10:39:36.76844 2022-04-11	succeeded EnableIcon("Open_Green_House_City_Door", Open, MainCity.GreenHouseDoor, "Green House Door", true)
10:39:36.78487 2022-04-11	started CreatePlace(GreenCottage, Cottage)
10:39:37.08462 2022-04-11	succeeded CreatePlace(GreenCottage, Cottage)
10:39:37.08684 2022-04-11	started EnableIcon("Open_Green_House_Door", Open, GreenCottage.Door, "Green House Door", true)
10:39:37.08810 2022-04-11	succeeded EnableIcon("Open_Green_House_Door", Open, GreenCottage.Door, "Green House Door", true)
10:39:37.08969 2022-04-11	started EnableIcon("Open_Brown_House_City_Door", Open, MainCity.BrownHouseDoor, "Brown House Door", true)
10:39:37.09094 2022-04-11	succeeded EnableIcon("Open_Brown_House_City_Door", Open, MainCity.BrownHouseDoor, "Brown House Door", true)
10:39:37.10098 2022-04-11	started CreatePlace(BrownCottage, Cottage)
10:39:37.39815 2022-04-11	succeeded CreatePlace(BrownCottage, Cottage)
10:39:37.39970 2022-04-11	started EnableIcon("Open_Brown_House_Door", Open, BrownCottage.Door, "Brown House Door", true)
10:39:37.40083 2022-04-11	succeeded EnableIcon("Open_Brown_House_Door", Open, BrownCottage.Door, "Brown House Door", true)
10:39:37.40228 2022-04-11	started EnableIcon("Open_Red_House_City_Door", Open, MainCity.RedHouseDoor, "Red House Door", true)
10:39:37.40349 2022-04-11	succeeded EnableIcon("Open_Red_House_City_Door", Open, MainCity.RedHouseDoor, "Red House Door", true)
10:39:37.41871 2022-04-11	started CreatePlace(RedCottage, Cottage)
10:39:37.71206 2022-04-11	succeeded CreatePlace(RedCottage, Cottage)
10:39:37.71354 2022-04-11	started EnableIcon("Open_Red_House_Door", Open, RedCottage.Door, "Red House Door", true)
10:39:37.71481 2022-04-11	succeeded EnableIcon("Open_Red_House_Door", Open, RedCottage.Door, "Red House Door", true)
10:39:37.71629 2022-04-11	started EnableIcon("Open_Blue_House_City_Door", Open, MainCity.BlueHouseDoor, "Blue House Door", true)
10:39:37.71783 2022-04-11	succeeded EnableIcon("Open_Blue_House_City_Door", Open, MainCity.BlueHouseDoor, "Blue House Door", true)
10:39:37.73554 2022-04-11	started CreatePlace(BlueCottage, Cottage)
10:39:38.03339 2022-04-11	succeeded CreatePlace(BlueCottage, Cottage)
10:39:38.03488 2022-04-11	started EnableIcon("Open_Blue_House_Door", Open, BlueCottage.Door, "Blue House Door", true)
10:39:38.03622 2022-04-11	succeeded EnableIcon("Open_Blue_House_Door", Open, BlueCottage.Door, "Blue House Door", true)
10:39:38.03835 2022-04-11	started EnableInput()
10:39:38.04052 2022-04-11	succeeded EnableInput()
10:39:38.05132 2022-04-11	started SetCameraFocus(Kate)
10:39:38.05662 2022-04-11	input arrived Kate at (302.2, 0.4, 0.9)
10:39:38.09266 2022-04-11	succeeded SetCameraFocus(Kate)
10:39:38.10217 2022-04-11	started SetCameraMode(follow)
10:39:38.13485 2022-04-11	succeeded SetCameraMode(follow)
10:39:38.15134 2022-04-11	started ShowMenu()
10:39:38.17678 2022-04-11	succeeded ShowMenu()
10:39:38.18535 2022-04-11	started HideMenu()
10:39:38.20170 2022-04-11	succeeded HideMenu()
10:39:38.21839 2022-04-11	started WalkTo(Kate, MainCity.GreenHouseDoor)
10:39:38.22283 2022-04-11	input started walking Kate at (302.2, 0.4, 0.9)
10:39:38.22477 2022-04-11	input started walking Kate at (302.2, 0.4, 0.9)
10:39:38.23501 2022-04-11	input started walking Kate at (302.2, 0.4, 0.9)
10:39:39.37198 2022-04-11	input arrived Kate position MainCity.GreenHouseDoor
10:39:39.93527 2022-04-11	succeeded WalkTo(Kate, MainCity.GreenHouseDoor)
10:39:40.05082 2022-04-11	input arrived Kate at (304.5, 0.7, -3.0)
10:39:43.00204 2022-04-11	input Key Pause
10:39:44.46394 2022-04-11	input Quit
10:39:44.46437 2022-04-11	END GAME
