11:37:50.63235 2022-04-11	START GAME
11:37:57.75532 2022-04-11	started CreatePlace(MainCity, City)
11:38:00.77648 2022-04-11	succeeded CreatePlace(MainCity, City)
11:38:00.77941 2022-04-11	started CreateCharacter(Kate,C)
11:38:00.78683 2022-04-11	succeeded CreateCharacter(Kate,C)
11:38:00.79087 2022-04-11	started SetHairStyle(Kate,Long)
11:38:00.79533 2022-04-11	succeeded SetHairStyle(Kate,Long)
11:38:00.81802 2022-04-11	started SetClothing(Kate,Queen)
11:38:00.85083 2022-04-11	succeeded SetClothing(Kate,Queen)
11:38:00.88574 2022-04-11	started SetPosition(Kate,MainCity.NorthEnd)
11:38:01.48530 2022-04-11	succeeded SetPosition(Kate,MainCity.NorthEnd)
11:38:01.51972 2022-04-11	started EnableIcon("Open_Green_House_City_Door", Open, MainCity.GreenHouseDoor, "Green House Door", true)
11:38:01.55212 2022-04-11	succeeded EnableIcon("Open_Green_House_City_Door", Open, MainCity.GreenHouseDoor, "Green House Door", true)
11:38:01.58572 2022-04-11	started CreatePlace(GreenCottage, Cottage)
11:38:01.89069 2022-04-11	succeeded CreatePlace(GreenCottage, Cottage)
11:38:01.90307 2022-04-11	started EnableIcon("Open_Green_House_Door", Open, GreenCottage.Door, "Green House Door", true)
11:38:01.90463 2022-04-11	succeeded EnableIcon("Open_Green_House_Door", Open, GreenCottage.Door, "Green House Door", true)
11:38:01.90603 2022-04-11	started EnableIcon("Open_Brown_House_City_Door", Open, MainCity.BrownHouseDoor, "Brown House Door", true)
11:38:01.93600 2022-04-11	succeeded EnableIcon("Open_Brown_House_City_Door", Open, MainCity.BrownHouseDoor, "Brown House Door", true)
11:38:01.96953 2022-04-11	started CreatePlace(BrownCottage, Cottage)
11:38:02.27900 2022-04-11	succeeded CreatePlace(BrownCottage, Cottage)
11:38:02.28056 2022-04-11	started EnableIcon("Open_Brown_House_Door", Open, BrownCottage.Door, "Brown House Door", true)
11:38:02.28190 2022-04-11	succeeded EnableIcon("Open_Brown_House_Door", Open, BrownCottage.Door, "Brown House Door", true)
11:38:02.28340 2022-04-11	started EnableIcon("Open_Red_House_City_Door", Open, MainCity.RedHouseDoor, "Red House Door", true)
11:38:02.28482 2022-04-11	succeeded EnableIcon("Open_Red_House_City_Door", Open, MainCity.RedHouseDoor, "Red House Door", true)
11:38:02.31956 2022-04-11	started CreatePlace(RedCottage, Cottage)
11:38:02.62332 2022-04-11	succeeded CreatePlace(RedCottage, Cottage)
11:38:02.62505 2022-04-11	started EnableIcon("Open_Red_House_Door", Open, RedCottage.Door, "Red House Door", true)
11:38:02.62634 2022-04-11	succeeded EnableIcon("Open_Red_House_Door", Open, RedCottage.Door, "Red House Door", true)
11:38:02.62774 2022-04-11	started EnableIcon("Open_Blue_House_City_Door", Open, MainCity.BlueHouseDoor, "Blue House Door", true)
11:38:02.65192 2022-04-11	succeeded EnableIcon("Open_Blue_House_City_Door", Open, MainCity.BlueHouseDoor, "Blue House Door", true)
11:38:02.68535 2022-04-11	started CreatePlace(BlueCottage, Cottage)
11:38:02.98345 2022-04-11	succeeded CreatePlace(BlueCottage, Cottage)
11:38:02.98519 2022-04-11	started EnableIcon("Open_Blue_House_Door", Open, BlueCottage.Door, "Blue House Door", true)
11:38:02.98674 2022-04-11	succeeded EnableIcon("Open_Blue_House_Door", Open, BlueCottage.Door, "Blue House Door", true)
11:38:02.98893 2022-04-11	started EnableInput()
11:38:02.99061 2022-04-11	succeeded EnableInput()
11:38:03.01995 2022-04-11	started SetCameraFocus(Kate)
11:38:03.02705 2022-04-11	input arrived Kate at (302.2, 0.4, 0.9)
11:38:03.08547 2022-04-11	succeeded SetCameraFocus(Kate)
11:38:03.11951 2022-04-11	started SetCameraMode(follow)
11:38:03.18455 2022-04-11	succeeded SetCameraMode(follow)
11:38:03.21877 2022-04-11	started ShowMenu()
11:38:03.25256 2022-04-11	succeeded ShowMenu()
11:38:03.28621 2022-04-11	started HideMenu()
11:38:03.32026 2022-04-11	succeeded HideMenu()
11:38:03.35292 2022-04-11	started WalkTo(Kate, MainCity.GreenHouseDoor)
11:38:03.35842 2022-04-11	input started walking Kate at (302.2, 0.4, 0.9)
11:38:03.36060 2022-04-11	input started walking Kate at (302.2, 0.4, 0.9)
11:38:03.38562 2022-04-11	input started walking Kate at (302.2, 0.4, 0.9)
11:38:03.41914 2022-04-11	input stopped walking Kate at (302.2, 0.4, 0.9)
11:38:03.42041 2022-04-11	input started walking Kate at (302.2, 0.4, 0.9)
11:38:03.45300 2022-04-11	input started walking Kate at (302.2, 0.4, 0.9)
11:38:03.48404 2022-04-11	input stopped walking Kate at (302.2, 0.4, 0.9)
11:38:03.48533 2022-04-11	input started walking Kate at (302.2, 0.4, 0.9)
11:38:03.51786 2022-04-11	input started walking Kate at (302.2, 0.4, 0.9)
11:38:03.55085 2022-04-11	input stopped walking Kate at (302.2, 0.4, 0.9)
11:38:03.55286 2022-04-11	input started walking Kate at (302.2, 0.4, 0.9)
11:38:03.58433 2022-04-11	input started walking Kate at (302.2, 0.4, 0.9)
11:38:03.61789 2022-04-11	input stopped walking Kate at (302.2, 0.4, 0.9)
11:38:03.61926 2022-04-11	input started walking Kate at (302.2, 0.4, 0.9)
11:38:03.65130 2022-04-11	input started walking Kate at (302.2, 0.4, 0.9)
11:38:03.68329 2022-04-11	input stopped walking Kate at (302.2, 0.4, 0.9)
11:38:03.68471 2022-04-11	input started walking Kate at (302.2, 0.4, 0.9)
11:38:03.71783 2022-04-11	input started walking Kate at (302.2, 0.4, 0.9)
11:38:03.75138 2022-04-11	input stopped walking Kate at (302.2, 0.4, 0.9)
11:38:03.75252 2022-04-11	failed WalkTo(Kate, MainCity.GreenHouseDoor) "The path to the target is blocked"
11:38:07.31865 2022-04-11	input Key Pause
11:38:10.05488 2022-04-11	input Quit
11:38:10.05533 2022-04-11	END GAME
